gs_cluuid_key,devicetype,ipaddress,footstep_count
-9223372035819911859,Mobile,45987706,5998
-9223372034590858785,Desktop,152925745,5995
-9223372036604345562,Mobile,234395,5991
-9223372035430918549,Mobile,2661899,5989
-9223372035184547776,Mobile,130337539,5988
-9223372036721143062,Mobile,22504415,5988
-9223372036753331163,Mobile,3480213,5986
-9223372034423817993,Mobile,163160165,5985
-9223372035294958736,Mobile,164079176,5984
-9223372036753259933,Tablet,164035754,5983
-9223372034679928546,Mobile,139767168,5981
-9223372036174335526,Mobile,37139195,5980
-9223372035512874374,Mobile,172291597,5978
-9223372035113824073,Mobile,48965199,5975
-9223372034434076751,Mobile,131685670,5972
-9223372035570627290,Mobile,156634304,5965
-9223372034396762489,Mobile,166184811,5964
-9223372036539574912,Mobile,167730396,5964
-9223372036559244202,Mobile,111778589,5963
-9223372035289903039,Mobile,94838089,5963
-9223372034705237929,Mobile,14569899,5962
-9223372034576554368,Mobile,164778435,5961
-9223372035238768279,Mobile,68270615,5961
-9223372034378638423,Mobile,117766614,5961
-9223372036628359232,Mobile,150269440,5960
-9223372036274918245,Mobile,88260968,5957
-9223372036441559335,Mobile,64796841,5954
-9223372036706883568,Mobile,170016634,5954
-9223372034848638944,Mobile,109884776,5950
-9223372034639287575,Mobile,74327840,5948
-9223372036707497890,Tablet,14406124,5947
-9223372034962088550,Desktop,43317785,5945
-9223372036752355197,Mobile,142269130,5942
-9223372036148238745,Mobile,121437079,5942
-9223372036220907745,Mobile,155284610,5941
-9223372035230742270,Mobile,171218126,5937
-9223372034425675944,Mobile,40778225,5934
-9223372035188224009,Mobile,92226513,5932
-9223372036140818310,Mobile,2801052,5928
-9223372035804446009,Mobile,166027909,5922
-9223372034495897411,Mobile,174155086,5920
-9223372035559515941,Mobile,165064288,5919
-9223372035545726826,Mobile,169596129,5917
-9223372036751511055,Mobile,166614845,5915
-9223372034663919699,Mobile,139182221,5912
-9223372036670774644,Mobile,102664889,5909
-9223372036751675835,Mobile,59009900,5907
-9223372035501259994,Mobile,110056981,5907
-9223372035421377911,Mobile,155647498,5907
